id,family,genus,taxon,trait,dstate,value,units,N
9092,Loasaceae,Mentzelia,Mentzelia albicaulis,Low elevation,NA,500,m,1
9093,Loasaceae,Mentzelia,Mentzelia crocea,Low elevation,NA,0,m,1
9094,Loasaceae,Mentzelia,Mentzelia desertorum,Low elevation,NA,0,m,1
9095,Loasaceae,Mentzelia,Mentzelia eremophila,Low elevation,NA,700,m,1
9096,Loasaceae,Mentzelia,Mentzelia gracilenta,Low elevation,NA,200,m,1
9097,Loasaceae,Mentzelia,Mentzelia hirsutissima,Low elevation,NA,0,m,1
9098,Loasaceae,Mentzelia,Mentzelia involucrata,Low elevation,NA,0,m,1
9099,Loasaceae,Mentzelia,Mentzelia inyoensis,Low elevation,NA,1900,m,1
9100,Loasaceae,Mentzelia,Mentzelia jonesii,Low elevation,NA,200,m,1
9101,Loasaceae,Mentzelia,Mentzelia micrantha,Low elevation,NA,0,m,1
9102,Loasaceae,Mentzelia,Mentzelia montana,Low elevation,NA,1200,m,1
9103,Loasaceae,Mentzelia,Mentzelia multiflora ssp. longiloba,Low elevation,NA,0,m,1
9104,Loasaceae,Mentzelia,Mentzelia nitens,Low elevation,NA,500,m,1
9105,Loasaceae,Mentzelia,Mentzelia obscura,Low elevation,NA,200,m,1
9106,Loasaceae,Mentzelia,Mentzelia oreophila,Low elevation,NA,900,m,1
9107,Loasaceae,Mentzelia,Mentzelia polita,Low elevation,NA,1200,m,1
9108,Loasaceae,Mentzelia,Mentzelia pterosperma,Low elevation,NA,1000,m,1
9109,Loasaceae,Mentzelia,Mentzelia reflexa,Low elevation,NA,0,m,1
9110,Loasaceae,Mentzelia,Mentzelia torreyi,Low elevation,NA,1200,m,1
9111,Loasaceae,Mentzelia,Mentzelia tricuspis,Low elevation,NA,200,m,1
9112,Ericaceae,Menziesia,Menziesia ferruginea,Low elevation,NA,0,m,1
9113,Euphorbiaceae,Mercurialis,Mercurialis annua,Low elevation,NA,0,m,1
9114,Boraginaceae,Mertensia,Mertensia bella,Low elevation,NA,1500,m,1
9115,Boraginaceae,Mertensia,Mertensia ciliata,Low elevation,NA,1700,m,1
9116,Boraginaceae,Mertensia,Mertensia cusickii,Low elevation,NA,0,m,1
9117,Boraginaceae,Mertensia,Mertensia longiflora,Low elevation,NA,1600,m,1
9118,Boraginaceae,Mertensia,Mertensia oblongifolia,Low elevation,NA,1000,m,1
9119,Boraginaceae,Mertensia,Mertensia oblongifolia var. amoena,Low elevation,NA,1000,m,1
9120,Boraginaceae,Mertensia,Mertensia oblongifolia var. nevadensis,Low elevation,NA,1000,m,1
9121,Boraginaceae,Mertensia,Mertensia oblongifolia var. oblongifolia,Low elevation,NA,1000,m,1
9122,Asteraceae,Micropus,Micropus amphibolus,Low elevation,NA,0,m,1
9123,Asteraceae,Micropus,Micropus californicus var. californicus,Low elevation,NA,0,m,1
9124,Asteraceae,Micropus,Micropus californicus var. subvestitus,Low elevation,NA,0,m,1
9125,Asteraceae,Microseris,Microseris borealis,Low elevation,NA,1000,m,1
9126,Asteraceae,Microseris,Microseris douglasii ssp. douglasii,Low elevation,NA,0,m,1
9127,Asteraceae,Microseris,Microseris douglasii ssp. platycarpha,Low elevation,NA,0,m,1
9128,Asteraceae,Microseris,Microseris douglasii ssp. tenella,Low elevation,NA,0,m,1
9129,Asteraceae,Microseris,Microseris laciniata,Low elevation,NA,0,m,1
9130,Asteraceae,Microseris,Microseris laciniata ssp. laciniata,Low elevation,NA,0,m,1
9131,Asteraceae,Microseris,Microseris laciniata ssp. leptosepala,Low elevation,NA,0,m,1
9132,Asteraceae,Microseris,Microseris laciniata ssp. siskiyouensis,Low elevation,NA,0,m,1
9133,Asteraceae,Microseris,Microseris paludosa,Low elevation,NA,0,m,1
9134,Scrophulariaceae,Mimulus,Mimulus alsinoides,Low elevation,NA,0,m,1
9135,Scrophulariaceae,Mimulus,Mimulus androsaceus,Low elevation,NA,0,m,1
9136,Scrophulariaceae,Mimulus,Mimulus angustatus,Low elevation,NA,200,m,1
9137,Scrophulariaceae,Mimulus,Mimulus bicolor,Low elevation,NA,300,m,1
9138,Scrophulariaceae,Mimulus,Mimulus bigelovii,Low elevation,NA,100,m,1
9139,Scrophulariaceae,Mimulus,Mimulus bigelovii var. bigelovii,Low elevation,NA,100,m,1
9140,Scrophulariaceae,Mimulus,Mimulus bigelovii var. cuspidatus,Low elevation,NA,100,m,1
9141,Scrophulariaceae,Mimulus,Mimulus bolanderi,Low elevation,NA,300,m,1
9142,Scrophulariaceae,Mimulus,Mimulus breviflorus,Low elevation,NA,1500,m,1
9143,Scrophulariaceae,Mimulus,Mimulus brevipes,Low elevation,NA,0,m,1
9144,Scrophulariaceae,Mimulus,Mimulus congdonii,Low elevation,NA,120,m,1
9145,Scrophulariaceae,Mimulus,Mimulus constrictus,Low elevation,NA,700,m,1
9146,Scrophulariaceae,Mimulus,Mimulus cusickii,Low elevation,NA,600,m,1
9147,Scrophulariaceae,Mimulus,Mimulus dentatus,Low elevation,NA,0,m,1
9148,Scrophulariaceae,Mimulus,Mimulus exiguus,Low elevation,NA,1800,m,1
9149,Scrophulariaceae,Mimulus,Mimulus fremontii,Low elevation,NA,0,m,1
9150,Scrophulariaceae,Mimulus,Mimulus glaucescens,Low elevation,NA,0,m,1
9151,Scrophulariaceae,Mimulus,Mimulus gracilipes,Low elevation,NA,500,m,1
9152,Scrophulariaceae,Mimulus,Mimulus inconspicuus,Low elevation,NA,100,m,1
9153,Scrophulariaceae,Mimulus,Mimulus jepsonii,Low elevation,NA,1200,m,1
9154,Scrophulariaceae,Mimulus,Mimulus johnstonii,Low elevation,NA,1200,m,1
9155,Scrophulariaceae,Mimulus,Mimulus kelloggii,Low elevation,NA,0,m,1
9156,Scrophulariaceae,Mimulus,Mimulus laciniatus,Low elevation,NA,900,m,1
9157,Scrophulariaceae,Mimulus,Mimulus latidens,Low elevation,NA,0,m,1
9158,Scrophulariaceae,Mimulus,Mimulus latifolius,Low elevation,NA,0,m,1
9159,Scrophulariaceae,Mimulus,Mimulus layneae,Low elevation,NA,200,m,1
9160,Scrophulariaceae,Mimulus,Mimulus mohavensis,Low elevation,NA,600,m,1
9161,Scrophulariaceae,Mimulus,Mimulus montioides,Low elevation,NA,1800,m,1
9162,Scrophulariaceae,Mimulus,Mimulus nanus,Low elevation,NA,1000,m,1
9163,Scrophulariaceae,Mimulus,Mimulus norrisii,Low elevation,NA,600,m,1
9164,Scrophulariaceae,Mimulus,Mimulus palmeri,Low elevation,NA,0,m,1
9165,Scrophulariaceae,Mimulus,Mimulus parishii,Low elevation,NA,0,m,1
9166,Scrophulariaceae,Mimulus,Mimulus parryi,Low elevation,NA,1200,m,1
9167,Scrophulariaceae,Mimulus,Mimulus pictus,Low elevation,NA,100,m,1
9168,Scrophulariaceae,Mimulus,Mimulus primuloides ssp. linearifolius,Low elevation,NA,600,m,1
9169,Scrophulariaceae,Mimulus,Mimulus primuloides ssp. primuloides,Low elevation,NA,600,m,1
9170,Scrophulariaceae,Mimulus,Mimulus pulchellus,Low elevation,NA,600,m,1
9171,Scrophulariaceae,Mimulus,Mimulus pulsiferae,Low elevation,NA,500,m,1
9172,Scrophulariaceae,Mimulus,Mimulus purpureus,Low elevation,NA,1900,m,1
9173,Scrophulariaceae,Mimulus,Mimulus pygmaeus,Low elevation,NA,1200,m,1
9174,Scrophulariaceae,Mimulus,Mimulus rattanii,Low elevation,NA,0,m,1
9175,Scrophulariaceae,Mimulus,Mimulus ringens,Low elevation,NA,0,m,1
9176,Scrophulariaceae,Mimulus,Mimulus rubellus,Low elevation,NA,800,m,1
9177,Scrophulariaceae,Mimulus,Mimulus rupicola,Low elevation,NA,300,m,1
9178,Scrophulariaceae,Mimulus,Mimulus shevockii,Low elevation,NA,900,m,1
9179,Scrophulariaceae,Mimulus,Mimulus suksdorfii,Low elevation,NA,1100,m,1
9180,Scrophulariaceae,Mimulus,Mimulus tilingii,Low elevation,NA,1400,m,1
9181,Scrophulariaceae,Mimulus,Mimulus torreyi,Low elevation,NA,600,m,1
9182,Scrophulariaceae,Mimulus,Mimulus traskiae,Low elevation,NA,0,m,1
9183,Scrophulariaceae,Mimulus,Mimulus tricolor,Low elevation,NA,0,m,1
9184,Scrophulariaceae,Mimulus,Mimulus viscidus,Low elevation,NA,0,m,1
9185,Scrophulariaceae,Mimulus,Mimulus whitneyi,Low elevation,NA,1500,m,1
9186,Caryophyllaceae,Minuartia,Minuartia californica,Low elevation,NA,0,m,1
9187,Caryophyllaceae,Minuartia,Minuartia decumbens,Low elevation,NA,1500,m,1
9188,Caryophyllaceae,Minuartia,Minuartia douglasii,Low elevation,NA,100,m,1
9189,Caryophyllaceae,Minuartia,Minuartia howellii,Low elevation,NA,500,m,1
9190,Caryophyllaceae,Minuartia,Minuartia nuttallii,Low elevation,NA,600,m,1
9191,Caryophyllaceae,Minuartia,Minuartia nuttallii ssp. fragilis,Low elevation,NA,1600,m,1
9192,Caryophyllaceae,Minuartia,Minuartia nuttallii ssp. gracilis,Low elevation,NA,1500,m,1
9193,Caryophyllaceae,Minuartia,Minuartia nuttallii ssp. gregaria,Low elevation,NA,600,m,1
9194,Caryophyllaceae,Minuartia,Minuartia obtusiloba,Low elevation,NA,3100,m,1
9195,Caryophyllaceae,Minuartia,Minuartia pusilla,Low elevation,NA,800,m,1
9196,Caryophyllaceae,Minuartia,Minuartia rosei,Low elevation,NA,700,m,1
9197,Caryophyllaceae,Minuartia,Minuartia rubella,Low elevation,NA,2400,m,1
9198,Caryophyllaceae,Minuartia,Minuartia stolonifera,Low elevation,NA,1200,m,1
9199,Caryophyllaceae,Minuartia,Minuartia stricta,Low elevation,NA,3500,m,1
9200,Nyctaginaceae,Mirabilis,Mirabilis alipes,Low elevation,NA,1200,m,1
9201,Nyctaginaceae,Mirabilis,Mirabilis bigelovii var. bigelovii,Low elevation,NA,0,m,1
9202,Nyctaginaceae,Mirabilis,Mirabilis bigelovii var. retrorsa,Low elevation,NA,100,m,1
9203,Nyctaginaceae,Mirabilis,Mirabilis coccinea,Low elevation,NA,1300,m,1
9204,Nyctaginaceae,Mirabilis,Mirabilis jalapa,Low elevation,NA,0,m,1
9205,Nyctaginaceae,Mirabilis,Mirabilis linearis var. linearis,Low elevation,NA,0,m,1
9206,Nyctaginaceae,Mirabilis,Mirabilis multiflora,Low elevation,NA,0,m,1
9207,Nyctaginaceae,Mirabilis,Mirabilis multiflora var. glandulosa,Low elevation,NA,900,m,1
9208,Nyctaginaceae,Mirabilis,Mirabilis nyctaginea,Low elevation,NA,0,m,1
9209,Nyctaginaceae,Mirabilis,Mirabilis oblongifolia,Low elevation,NA,1500,m,1
9210,Nyctaginaceae,Mirabilis,Mirabilis pumila,Low elevation,NA,1400,m,1
9211,Nyctaginaceae,Mirabilis,Mirabilis tenuiloba,Low elevation,NA,0,m,1
9212,Poaceae,Miscanthus,Miscanthus sinensis,Low elevation,NA,0,m,1
9213,Saxifragaceae,Mitella,Mitella caulescens,Low elevation,NA,0,m,1
9214,Saxifragaceae,Mitella,Mitella diversifolia,Low elevation,NA,500,m,1
9215,Saxifragaceae,Mitella,Mitella ovalis,Low elevation,NA,0,m,1
9216,Saxifragaceae,Mitella,Mitella pentandra,Low elevation,NA,1500,m,1
9217,Malvaceae,Modiola,Modiola caroliniana,Low elevation,NA,0,m,1
9218,Caryophyllaceae,Moehringia,Moehringia macrophylla,Low elevation,NA,300,m,1
9219,Caryophyllaceae,Moenchia,Moenchia erecta ssp. erecta,Low elevation,NA,200,m,1
9220,Scrophulariaceae,Mohavea,Mohavea breviflora,Low elevation,NA,100,m,1
9221,Scrophulariaceae,Mohavea,Mohavea confertiflora,Low elevation,NA,0,m,1
9222,Molluginaceae,Mollugo,Mollugo cerviana,Low elevation,NA,0,m,1
9223,Molluginaceae,Mollugo,Mollugo verticillata,Low elevation,NA,0,m,1
9224,Lamiaceae,Moluccella,Moluccella laevis,Low elevation,NA,0,m,1
9225,Poaceae,Monanthochloe,Monanthochloe littoralis,Low elevation,NA,0,m,1
9226,Lamiaceae,Monarda,Monarda pectinata,Low elevation,NA,1100,m,1
9227,Lamiaceae,Monardella,Monardella antonina,Low elevation,NA,500,m,1
9228,Lamiaceae,Monardella,Monardella antonina ssp. antonina,Low elevation,NA,500,m,1
9229,Lamiaceae,Monardella,Monardella antonina ssp. benitensis,Low elevation,NA,500,m,1
9230,Lamiaceae,Monardella,Monardella australis,Low elevation,NA,1500,m,1
9231,Lamiaceae,Monardella,Monardella beneolens,Low elevation,NA,2500,m,1
9232,Lamiaceae,Monardella,Monardella breweri,Low elevation,NA,0,m,1
9233,Lamiaceae,Monardella,Monardella candicans,Low elevation,NA,0,m,1
9234,Lamiaceae,Monardella,Monardella cinerea,Low elevation,NA,1800,m,1
9235,Lamiaceae,Monardella,Monardella crispa,Low elevation,NA,0,m,1
9236,Lamiaceae,Monardella,Monardella douglasii,Low elevation,NA,0,m,1
9237,Lamiaceae,Monardella,Monardella douglasii ssp. douglasii,Low elevation,NA,0,m,1
9238,Lamiaceae,Monardella,Monardella douglasii ssp. venosa,Low elevation,NA,0,m,1
9239,Lamiaceae,Monardella,Monardella exilis,Low elevation,NA,600,m,1
9240,Lamiaceae,Monardella,Monardella follettii,Low elevation,NA,600,m,1
9241,Lamiaceae,Monardella,Monardella frutescens,Low elevation,NA,0,m,1
9242,Lamiaceae,Monardella,Monardella glauca,Low elevation,NA,1000,m,1
9243,Lamiaceae,Monardella,Monardella hypoleuca ssp. hypoleuca,Low elevation,NA,0,m,1
9244,Lamiaceae,Monardella,Monardella hypoleuca ssp. lanata,Low elevation,NA,300,m,1
9245,Lamiaceae,Monardella,Monardella leucocephala,Low elevation,NA,0,m,1
9246,Lamiaceae,Monardella,Monardella linoides,Low elevation,NA,900,m,1
9247,Lamiaceae,Monardella,Monardella linoides ssp. linoides,Low elevation,NA,900,m,1
9248,Lamiaceae,Monardella,Monardella linoides ssp. oblonga,Low elevation,NA,900,m,1
9249,Lamiaceae,Monardella,Monardella linoides ssp. stricta,Low elevation,NA,1600,m,1
9250,Lamiaceae,Monardella,Monardella linoides ssp. viminea,Low elevation,NA,0,m,1
9251,Lamiaceae,Monardella,Monardella macrantha,Low elevation,NA,600,m,1
9252,Lamiaceae,Monardella,Monardella macrantha ssp. hallii,Low elevation,NA,600,m,1
9253,Lamiaceae,Monardella,Monardella macrantha ssp. macrantha,Low elevation,NA,600,m,1
9254,Lamiaceae,Monardella,Monardella nana,Low elevation,NA,900,m,1
9255,Lamiaceae,Monardella,Monardella nana ssp. arida,Low elevation,NA,900,m,1
9256,Lamiaceae,Monardella,Monardella nana ssp. leptosiphon,Low elevation,NA,1200,m,1
9257,Lamiaceae,Monardella,Monardella nana ssp. nana,Low elevation,NA,1200,m,1
9258,Lamiaceae,Monardella,Monardella nana ssp. tenuiflora,Low elevation,NA,900,m,1
9259,Lamiaceae,Monardella,Monardella odoratissima,Low elevation,NA,600,m,1
9260,Lamiaceae,Monardella,Monardella odoratissima ssp. odoratissima,Low elevation,NA,1200,m,1
9261,Lamiaceae,Monardella,Monardella palmeri,Low elevation,NA,200,m,1
9262,Lamiaceae,Monardella,Monardella pringlei,Low elevation,NA,300,m,1
9263,Lamiaceae,Monardella,Monardella robisonii,Low elevation,NA,1100,m,1
9264,Lamiaceae,Monardella,Monardella sheltonii,Low elevation,NA,600,m,1
9265,Lamiaceae,Monardella,Monardella siskiyouensis,Low elevation,NA,0,m,1
9266,Lamiaceae,Monardella,Monardella stebbinsii,Low elevation,NA,800,m,1
9267,Lamiaceae,Monardella,Monardella villosa ssp. franciscana,Low elevation,NA,0,m,1
9268,Lamiaceae,Monardella,Monardella villosa ssp. globosa,Low elevation,NA,200,m,1
9269,Lamiaceae,Monardella,Monardella villosa ssp. obispoensis,Low elevation,NA,0,m,1
9270,Lamiaceae,Monardella,Monardella villosa ssp. villosa,Low elevation,NA,0,m,1
9271,Lamiaceae,Monardella,Monardella viridis,Low elevation,NA,0,m,1
9272,Lamiaceae,Monardella,Monardella viridis ssp. saxicola,Low elevation,NA,500,m,1
9273,Lamiaceae,Monardella,Monardella viridis ssp. viridis,Low elevation,NA,300,m,1
9274,Ericaceae,Moneses,Moneses uniflora,Low elevation,NA,100,m,1
9275,Pontederiaceae,Monochoria,Monochoria vaginalis,Low elevation,NA,100,m,1
9276,Chenopodiaceae,Monolepis,Monolepis nuttalliana,Low elevation,NA,0,m,1
9277,Chenopodiaceae,Monolepis,Monolepis pusilla,Low elevation,NA,1500,m,1
9278,Chenopodiaceae,Monolepis,Monolepis spathulata,Low elevation,NA,1400,m,1
9279,Asteraceae,Monolopia,Monolopia gracilens,Low elevation,NA,100,m,1
9280,Asteraceae,Monolopia,Monolopia stricta,Low elevation,NA,0,m,1
9281,Asteraceae,Monoptilon,Monoptilon bellidiforme,Low elevation,NA,600,m,1
9282,Ericaceae,Monotropa,Monotropa hypopithys,Low elevation,NA,100,m,1
9283,Ericaceae,Monotropa,Monotropa uniflora,Low elevation,NA,0,m,1
9284,Portulacaceae,Montia,Montia dichotoma,Low elevation,NA,1000,m,1
9285,Portulacaceae,Montia,Montia diffusa,Low elevation,NA,0,m,1
9286,Portulacaceae,Montia,Montia howellii,Low elevation,NA,0,m,1
9287,Portulacaceae,Montia,Montia linearis,Low elevation,NA,0,m,1
9288,Portulacaceae,Montia,Montia parvifolia,Low elevation,NA,0,m,1
9289,Celastraceae,Mortonia,Mortonia utahensis,Low elevation,NA,900,m,1
9290,Moraceae,Morus,Morus alba,Low elevation,NA,0,m,1
9291,Polygonaceae,Mucronea,Mucronea californica,Low elevation,NA,0,m,1
9292,Polygonaceae,Mucronea,Mucronea perfoliata,Low elevation,NA,100,m,1
9293,Polygonaceae,Muehlenbeckia,Muehlenbeckia complexa,Low elevation,NA,0,m,1
9294,Polygonaceae,Muehlenbeckia,Muehlenbeckia hastulata,Low elevation,NA,0,m,1
9295,Poaceae,Muhlenbergia,Muhlenbergia andina,Low elevation,NA,0,m,1
9296,Poaceae,Muhlenbergia,Muhlenbergia appressa,Low elevation,NA,0,m,1
9297,Poaceae,Muhlenbergia,Muhlenbergia arsenei,Low elevation,NA,1400,m,1
9298,Poaceae,Muhlenbergia,Muhlenbergia asperifolia,Low elevation,NA,100,m,1
9299,Poaceae,Muhlenbergia,Muhlenbergia californica,Low elevation,NA,100,m,1
9300,Poaceae,Muhlenbergia,Muhlenbergia fragilis,Low elevation,NA,1600,m,1
9301,Poaceae,Muhlenbergia,Muhlenbergia jonesii,Low elevation,NA,1100,m,1
9302,Poaceae,Muhlenbergia,Muhlenbergia microsperma,Low elevation,NA,0,m,1
9303,Poaceae,Muhlenbergia,Muhlenbergia minutissima,Low elevation,NA,400,m,1
9304,Poaceae,Muhlenbergia,Muhlenbergia montana,Low elevation,NA,1600,m,1
9305,Poaceae,Muhlenbergia,Muhlenbergia pauciflora,Low elevation,NA,1700,m,1
9306,Poaceae,Muhlenbergia,Muhlenbergia porteri,Low elevation,NA,600,m,1
9307,Poaceae,Muhlenbergia,Muhlenbergia richardsonis,Low elevation,NA,1200,m,1
9308,Poaceae,Muhlenbergia,Muhlenbergia schreberi,Low elevation,NA,0,m,1
9309,Poaceae,Muhlenbergia,Muhlenbergia utilis,Low elevation,NA,200,m,1
9310,Liliaceae,Muilla,Muilla clevelandii,Low elevation,NA,0,m,1
9311,Liliaceae,Muilla,Muilla coronata,Low elevation,NA,1000,m,1
9312,Liliaceae,Muilla,Muilla maritima,Low elevation,NA,0,m,1
9313,Poaceae,Munroa,Munroa squarrosa,Low elevation,NA,1500,m,1
9314,Liliaceae,Muscari,Muscari botryoides,Low elevation,NA,0,m,1
9315,Myoporaceae,Myoporum,Myoporum laetum,Low elevation,NA,0,m,1
9316,Boraginaceae,Myosotis,Myosotis latifolia,Low elevation,NA,0,m,1
9317,Boraginaceae,Myosotis,Myosotis laxa,Low elevation,NA,0,m,1
9318,Boraginaceae,Myosotis,Myosotis micrantha,Low elevation,NA,500,m,1
9319,Boraginaceae,Myosotis,Myosotis scorpioides,Low elevation,NA,0,m,1
9320,Boraginaceae,Myosotis,Myosotis verna,Low elevation,NA,0,m,1
9321,Ranunculaceae,Myosurus,Myosurus apetalus,Low elevation,NA,1300,m,1
9322,Ranunculaceae,Myosurus,Myosurus cupulatus,Low elevation,NA,1000,m,1
9323,Ranunculaceae,Myosurus,Myosurus sessilis,Low elevation,NA,0,m,1
9324,Myricaceae,Myrica,Myrica hartwegii,Low elevation,NA,300,m,1
9325,Haloragaceae,Myriophyllum,Myriophyllum aquaticum,Low elevation,NA,0,m,1
9326,Haloragaceae,Myriophyllum,Myriophyllum hippuroides,Low elevation,NA,0,m,1
9327,Haloragaceae,Myriophyllum,Myriophyllum sibiricum,Low elevation,NA,0,m,1
9328,Haloragaceae,Myriophyllum,Myriophyllum spicatum,Low elevation,NA,0,m,1
9329,Haloragaceae,Myriophyllum,Myriophyllum verticillatum,Low elevation,NA,0,m,1
9330,Hydrocharitaceae,Najas,Najas flexilis,Low elevation,NA,0,m,1
9331,Hydrocharitaceae,Najas,Najas gracillima,Low elevation,NA,100,m,1
9332,Hydrocharitaceae,Najas,Najas graminea,Low elevation,NA,0,m,1
9333,Hydrocharitaceae,Najas,Najas guadalupensis,Low elevation,NA,0,m,1
9334,Hydrocharitaceae,Najas,Najas marina,Low elevation,NA,0,m,1
9335,Hydrophyllaceae,Nama,Nama aretioides var. californicum,Low elevation,NA,0,m,1
9336,Hydrophyllaceae,Nama,Nama aretioides var. multiflorum,Low elevation,NA,1200,m,1
9337,Hydrophyllaceae,Nama,Nama californicum,Low elevation,NA,900,m,1
9338,Hydrophyllaceae,Nama,Nama demissum var. covillei,Low elevation,NA,0,m,1
9339,Hydrophyllaceae,Nama,Nama demissum var. demissum,Low elevation,NA,500,m,1
9340,Hydrophyllaceae,Nama,Nama densum,Low elevation,NA,1200,m,1
9341,Hydrophyllaceae,Nama,Nama densum var. densum,Low elevation,NA,1200,m,1
9342,Hydrophyllaceae,Nama,Nama densum var. parviflorum,Low elevation,NA,1200,m,1
9343,Hydrophyllaceae,Nama,Nama depressum,Low elevation,NA,600,m,1
9344,Hydrophyllaceae,Nama,Nama dichotomum var. dichotomum,Low elevation,NA,1900,m,1
9345,Hydrophyllaceae,Nama,Nama hispidum var. spathulatum,Low elevation,NA,0,m,1
9346,Hydrophyllaceae,Nama,Nama pusillum,Low elevation,NA,0,m,1
9347,Hydrophyllaceae,Nama,Nama rothrockii,Low elevation,NA,1700,m,1
9348,Hydrophyllaceae,Nama,Nama stenocarpum,Low elevation,NA,0,m,1
9349,Liliaceae,Narthecium,Narthecium californicum,Low elevation,NA,700,m,1
9350,Poaceae,Nassella,Nassella formicara,Low elevation,NA,0,m,1
9351,Polemoniaceae,Navarretia,Navarretia atractyloides,Low elevation,NA,0,m,1
9352,Polemoniaceae,Navarretia,Navarretia breweri,Low elevation,NA,1200,m,1
9353,Polemoniaceae,Navarretia,Navarretia cotulifolia,Low elevation,NA,0,m,1
9354,Polemoniaceae,Navarretia,Navarretia divaricata,Low elevation,NA,300,m,1
9355,Polemoniaceae,Navarretia,Navarretia divaricata ssp. divaricata,Low elevation,NA,300,m,1
9356,Polemoniaceae,Navarretia,Navarretia divaricata ssp. vividior,Low elevation,NA,600,m,1
9357,Polemoniaceae,Navarretia,Navarretia eriocephala,Low elevation,NA,0,m,1
9358,Polemoniaceae,Navarretia,Navarretia filicaulis,Low elevation,NA,300,m,1
9359,Polemoniaceae,Navarretia,Navarretia fossalis,Low elevation,NA,0,m,1
9360,Polemoniaceae,Navarretia,Navarretia hamata,Low elevation,NA,0,m,1
9361,Polemoniaceae,Navarretia,Navarretia hamata ssp. hamata,Low elevation,NA,0,m,1
9362,Polemoniaceae,Navarretia,Navarretia hamata ssp. leptantha,Low elevation,NA,0,m,1
9363,Polemoniaceae,Navarretia,Navarretia hamata ssp. parviloba,Low elevation,NA,0,m,1
9364,Polemoniaceae,Navarretia,Navarretia heterandra,Low elevation,NA,0,m,1
9365,Polemoniaceae,Navarretia,Navarretia heterodoxa,Low elevation,NA,100,m,1
9366,Polemoniaceae,Navarretia,Navarretia intertexta,Low elevation,NA,0,m,1
9367,Polemoniaceae,Navarretia,Navarretia intertexta ssp. intertexta,Low elevation,NA,0,m,1
9368,Polemoniaceae,Navarretia,Navarretia intertexta ssp. propinqua,Low elevation,NA,800,m,1
9369,Polemoniaceae,Navarretia,Navarretia jaredii,Low elevation,NA,200,m,1
9370,Polemoniaceae,Navarretia,Navarretia jepsonii,Low elevation,NA,400,m,1
9371,Polemoniaceae,Navarretia,Navarretia leucocephala,Low elevation,NA,0,m,1
9372,Polemoniaceae,Navarretia,Navarretia leucocephala ssp. bakeri,Low elevation,NA,0,m,1
9373,Polemoniaceae,Navarretia,Navarretia leucocephala ssp. leucocephala,Low elevation,NA,0,m,1
9374,Polemoniaceae,Navarretia,Navarretia leucocephala ssp. minima,Low elevation,NA,0,m,1
9375,Polemoniaceae,Navarretia,Navarretia leucocephala ssp. pauciflora,Low elevation,NA,400,m,1
9376,Polemoniaceae,Navarretia,Navarretia leucocephala ssp. plieantha,Low elevation,NA,800,m,1
9377,Polemoniaceae,Navarretia,Navarretia mellita,Low elevation,NA,300,m,1
9378,Polemoniaceae,Navarretia,Navarretia myersii,Low elevation,NA,0,m,1
9379,Polemoniaceae,Navarretia,Navarretia nigelliformis,Low elevation,NA,100,m,1
9380,Polemoniaceae,Navarretia,Navarretia nigelliformis ssp. nigelliformis,Low elevation,NA,100,m,1
9381,Polemoniaceae,Navarretia,Navarretia nigelliformis ssp. radians,Low elevation,NA,200,m,1
9382,Polemoniaceae,Navarretia,Navarretia peninsularis,Low elevation,NA,1500,m,1
9383,Polemoniaceae,Navarretia,Navarretia prolifera,Low elevation,NA,600,m,1
9384,Polemoniaceae,Navarretia,Navarretia prolifera ssp. lutea,Low elevation,NA,900,m,1
9385,Polemoniaceae,Navarretia,Navarretia prolifera ssp. prolifera,Low elevation,NA,600,m,1
9386,Polemoniaceae,Navarretia,Navarretia prostrata,Low elevation,NA,0,m,1
9387,Polemoniaceae,Navarretia,Navarretia pubescens,Low elevation,NA,0,m,1
9388,Polemoniaceae,Navarretia,Navarretia rosulata,Low elevation,NA,200,m,1
9389,Polemoniaceae,Navarretia,Navarretia setiloba,Low elevation,NA,500,m,1
9390,Polemoniaceae,Navarretia,Navarretia squarrosa,Low elevation,NA,0,m,1
9391,Polemoniaceae,Navarretia,Navarretia subuligera,Low elevation,NA,100,m,1
9392,Polemoniaceae,Navarretia,Navarretia tagetina,Low elevation,NA,0,m,1
9393,Polemoniaceae,Navarretia,Navarretia viscidula,Low elevation,NA,100,m,1
9394,Polygonaceae,Nemacaulis,Nemacaulis denudata,Low elevation,NA,0,m,1
9395,Polygonaceae,Nemacaulis,Nemacaulis denudata var. denudata,Low elevation,NA,0,m,1
9396,Polygonaceae,Nemacaulis,Nemacaulis denudata var. gracilis,Low elevation,NA,0,m,1
9397,Campanulaceae,Nemacladus,Nemacladus glanduliferus,Low elevation,NA,0,m,1
9398,Campanulaceae,Nemacladus,Nemacladus glanduliferus var. glanduliferus,Low elevation,NA,100,m,1
9399,Campanulaceae,Nemacladus,Nemacladus glanduliferus var. orientalis,Low elevation,NA,0,m,1
9400,Campanulaceae,Nemacladus,Nemacladus gracilis,Low elevation,NA,0,m,1
9401,Campanulaceae,Nemacladus,Nemacladus interior,Low elevation,NA,100,m,1
9402,Campanulaceae,Nemacladus,Nemacladus longiflorus,Low elevation,NA,300,m,1
9403,Campanulaceae,Nemacladus,Nemacladus longiflorus var. breviflorus,Low elevation,NA,800,m,1
9404,Campanulaceae,Nemacladus,Nemacladus longiflorus var. longiflorus,Low elevation,NA,300,m,1
